코드	계정명	2023-03-31/1st Quarter	2023-06-30/Semi Annual	2023-09-30/3rd Quarter	2023-12-31/Annual	2024-03-31/1st Quarter	2024-06-30/Semi Annual	2024-09-30/3rd Quarter	2024-12-31/Annual	2025-03-31/1st Quarter	2025-06-30/Semi Annual	2025-09-30/3rd Quarter	2025-12-31/Annual	2026-03-31/1st Quarter
125161	   기타자산처분이익													
125105	   임대료수익	94087000	201960000	316248000	434324000	104409000	216168000	380208000	493348000	71578000	127139000	259521000	13807023000	222244000
125106	   수수료수익	2280626000	4813837000											
125107	   원가차익													
125108	   매입할인													
125110	   보험차익													
125109	   외환차익	2578122000	5119707000	14908623000	9133765000	2293620000	10437210000	7509640000	10090343000	3093067000	5680864000	7605523000	9977897000	2563535000
125111	   외화환산이익	661751000	541019000	582767000	14263348000	574056000	866913000	10552941000	13848920000	606769000	12635732000	13976635000	607011000	3520676000
125118	   파생상품거래이익													
125119	   파생상품거래대환입													
125126	   파생상품평가이익	1095000000	1365000000	2325000000		3977105000	4990000000	1510000000	9030000000					2300000000
125187	   자산평가이익	524779000	906611000	1142443000	459505000	1520709000	3666503000	4864400000	4300740000	1040888000	3855680000	6879489000	5738536000	180697000
125143	      투자자산평가이익													
125141	      단기금융상품평가이익													
125144	      단기매매금융자산평가이익													
125155	      당기손익인식금융자산평가이익	524779000	906611000	1142443000	459505000	1520709000	3666503000	4864400000		1040888000	3855680000	6879489000	5738536000	180697000
125145	      매도가능금융자산평가이익													
125121	      기타장단기투자자산평가이익								2355645000					
125142	      단기투자일임계약자산평가이익													
125175	      유형자산평가이익								1945095000					
125188	      무형자산평가이익													
125189	      투자부동산평가이익													
125162	      기타자산평가이익													
125112	   환율조정대환입													
125113	   대손충당부채환입			16600000										
125139	   재고자산평가손실환입													
125114	   장단기투자증권평가충당부채환입													
125120	   투자자산평가충당부채환입													
125153	   공정가액조정이익													
125124	   상각채권추심이익													
125152	   자전거래이익													
125125	   사채상환이익													
125150	   전환사채전환이익													
125127	   지분법이익													
125167	   자산손상차손환입				113200000									
125160	      임대주택자산손상차손환입													
125128	      투자자산손상차손환입													
125149	      매도가능금융자산손상차손환입													
125151	      만기보유금융자산손상차손환입													
125159	      기타장단기투자자산손상차손환입													
125166	      지분법주식손상차손환입													
125171	      종속기업투자손상차손환입													
125172	      관계기업투자손상차손환입													
125173	      조인트벤처투자손상차손환입													
125170	      유형자산손상차손환입													
125180	      무형자산손상차손환입				113200000									
125190	      기타자산손상차손환입													
125191	   주식보상비용환입													
125129	   법인세환급액													
125138	   중간기간오류이익													
125140	   중간기간영업외수익조정													
125134	   전기오류수정이익													
125135	   복구충당부채환입액													
125136	   복구공사이익													
125137	   유동화수익													
125157	   자산수증이익													
125158	   채무면제이익													
125154	   해외사업환산이익환입													
125168	   정부보조금													
125115	   기타영업외수익	290390000	776548000	1209526000	2259970000	4191174000	1585613000	2790442000	5531285000	4607243000	1866662000	8324233000	9851178000	1080586000
126000	영업외비용	25568035000	57361357000	73170960000	117285004000	26758307000	51000004000	77741685000	106400497000	24060523000	48840168000	65148416000	80554320000	28200247000
126109	[금융비용자본화]								343824000			406336000	809312000	463068000
126103	   금융비용	18422912000	35940522000	52102026000	70590773000	19077101000	38095942000	55851869000	72878952000	16016918000	32125947000	47211750000	63026451000	17133914000
126119	   [공시금융비용]	18422912000	35940522000	52102026000	70590773000	19077101000	38095942000	55851869000	72878952000	16016918000	32125947000	47211750000	63026451000	17133914000
126110	      이자비용	18422912000	35940522000	52102026000	70590773000	19077101000	38095942000	55851869000	72878952000	16016918000	32125947000	47211750000	63026451000	17133914000
126120	      사채이자													
126132	      매출채권처분손실													
126139	      상환우선주배당금													
126104	      기타금융비용													
126121	   단기투자자산처분손실													
126122	   장기투자자산처분손실													
126270	   투자자산처분손실													
126131	   단기금융상품처분손실													
126144	   단기매매금융자산처분손실													
126129	   당기손익인식금융자산처분손실			141909000										500193000
126145	   매도가능금융자산처분손실													
126146	   만기보유금융자산처분손실													
126140	   기타장단기투자자산처분손실													
126123	   지분법주식처분손실													
126105	   종속기업투자처분손실													
126106	   관계기업투자처분손실													
126107	   조인트벤처투자처분손실													
126133	   임대주택자산처분손실													
126260	   유,무형,리스자산처분손실	29850000	73165000	412954000	421270000		335018000	381817000	763536000	7971000	11265000	30338000	299152000	59473000
126141	   신주인수권처분손실													
126127	   기타자산처분손실													
126150	   기부금	226950000	1130400000	1437107000	2021153000	1304450000	1337550000	3065218000	3100558000	3491906000	3516856000	4843505000	5043281000	3876554000
126160	   외환차손	2630632000	5646798000	7819060000	9774870000	2923314000	4957774000	8081426000	9520387000	3177638000	6848920000	8410380000	10710364000	2338516000
126174	   외화환산손실	1096994000	1365458000	2325536000	363000	2870383000	4990799000	1510000000	9030000000				250000	2300000000
126161	   파생상품거래손실				290667000									
126162	   파생상품거래차상각													
