코드	계정명	2023-03-31/1st Quarter	2023-06-30/Semi Annual	2023-09-30/3rd Quarter	2023-12-31/Annual	2024-03-31/1st Quarter	2024-06-30/Semi Annual	2024-09-30/3rd Quarter	2024-12-31/Annual	2025-03-31/1st Quarter	2025-06-30/Semi Annual	2025-09-30/3rd Quarter	2025-12-31/Annual	2026-03-31/1st Quarter
126119	   [공시금융비용]	1095297000	2778716000	3747637000	4967235000	1094339000	2223565000	3037991000	3834064000	778144000	2352820000	2637876000	3513717000	600668000
126110	      이자비용	966602000	1907093000	2849346000	3788329000	885004000	1713558000	2485621000	3214032000	687251000	1320906000	1899828000	2541096000	586551000
126120	      사채이자													
126132	      매출채권처분손실													
126139	      상환우선주배당금													
126104	      기타금융비용													
126121	   단기투자자산처분손실													
126122	   장기투자자산처분손실													
126270	   투자자산처분손실													
126131	   단기금융상품처분손실													
126144	   단기매매금융자산처분손실													
126129	   당기손익인식금융자산처분손실													
126145	   매도가능금융자산처분손실													
126146	   만기보유금융자산처분손실													
126140	   기타장단기투자자산처분손실													
126123	   지분법주식처분손실													
126105	   종속기업투자처분손실													
126106	   관계기업투자처분손실													
126107	   조인트벤처투자처분손실													
126133	   임대주택자산처분손실													
126260	   유,무형,리스자산처분손실	847043000	856803000	856822000	859082000	18167000	18847000	18900000	18899000	46000	139000	6209000	17066000	951000
126141	   신주인수권처분손실													
126127	   기타자산처분손실													
126150	   기부금	513628000	763628000	897103000	1256068000	1800000000	2140000000	2305000000	2508128000	1380000000	1430000000	2171000000	2401000000	1700000000
126160	   외환차손	46859000	404151000	764378000	1077459000	174349000	424351000	518335000	588158000	79211000	457768000	666501000	755852000	6599000
126174	   외화환산손실	81836000	467472000	133912000	101446000	34987000	85656000	29034000	26874000	11682000	574146000	71547000	216769000	7519000
126161	   파생상품거래손실													
126162	   파생상품거래차상각													
126163	   파생상품평가손실													
126170	   자산평가손실													
126173	      투자자산평가손실													
126176	      단기금융상품평가손실													
126142	      단기매매금융자산평가손실													
126178	      당기손익인식금융자산평가손실													
126143	      매도가능금융자산평가손실													
126172	      기타장단기투자자산평가손실													
126177	      단기투자일임계약자산평가손실													
126171	      재고자산평가손실													
126175	      재고자산감모손실													
126415	      유형자산평가손실													
126124	      무형자산평가손실													
126125	      투자부동산평가손실													
126128	      기타자산평가손실													
126180	   매출할인													
126181	   수수료비용							5000000	5000000					
126200	   원가차손													
126210	   무형자산상각비													
126212	      영업권상각													
126214	      부의영업권환입(-)													
126230	      라이선스와프랜차이즈상각													
126211	      산업재산권상각													
126231	      저작권상각													
126232	      임차권리금상각													
126215	      광업권상각													
126216	      어업권상각													
126217	      차지권상각													
