코드	계정명	2023-09-30/Annual	2024-09-30/Annual	2025-09-30/Annual
126146	   만기보유금융자산처분손실			
126140	   기타장단기투자자산처분손실			
126123	   지분법주식처분손실			
126105	   종속기업투자처분손실			
126106	   관계기업투자처분손실			
126107	   조인트벤처투자처분손실			
126133	   임대주택자산처분손실			
126260	   유,무형,리스자산처분손실			4393274000
126141	   신주인수권처분손실			
126127	   기타자산처분손실			
126150	   기부금	20000000	312300000	218087000
126160	   외환차손		443091000	1651907000
126174	   외화환산손실	49362000	205449000	3791717000
126161	   파생상품거래손실	3435309000		
126162	   파생상품거래차상각			
126163	   파생상품평가손실		15231020000	
126170	   자산평가손실			
126173	      투자자산평가손실			
126176	      단기금융상품평가손실			
126142	      단기매매금융자산평가손실			
126178	      당기손익인식금융자산평가손실			
126143	      매도가능금융자산평가손실			
126172	      기타장단기투자자산평가손실			
126177	      단기투자일임계약자산평가손실			
126171	      재고자산평가손실			
126175	      재고자산감모손실			
126415	      유형자산평가손실			
126124	      무형자산평가손실			
126125	      투자부동산평가손실			
126128	      기타자산평가손실			
126180	   매출할인			
126181	   수수료비용	962774000	143350000	69502000
126200	   원가차손			
126210	   무형자산상각비			
126212	      영업권상각			
126214	      부의영업권환입(-)			
126230	      라이선스와프랜차이즈상각			
126211	      산업재산권상각			
126231	      저작권상각			
126232	      임차권리금상각			
126215	      광업권상각			
126216	      어업권상각			
126217	      차지권상각			
126218	      전용시설이용권상각			
126219	      창업비상각			
126228	      개발비상각			
126229	      소프트웨어상각			
126213	      기타무형자산상각			
126240	   기타대손상각비			
126245	   감가상각비			
126149	   자전거래손실			
126151	   공정가액조정손실			
126280	   사채상환손실			
126350	   전환사채전환손실			
126281	   부채상환손실			
126310	   지분법손실			
126126	   자산손상차손			
126400	      임대주택자산손상차손			
126275	      투자자산손상차손			
126147	      매도가능금융자산손상차손			
126148	      만기보유금융자산손상차손			
126153	      기타장단기투자자산손상차손			
126155	      지분법주식손상차손			
126156	      종속기업투자손상차손			
126157	      관계기업투자손상차손			
126158	      조인트벤처투자손상차손			
126410	      유형자산손상차손			
126420	      무형자산손상차손			
126430	      기타자산손상차손			
126330	   법인세추납액			
126137	   중간기간오류손실			
126138	   중간기간영업외비용조정			
126134	   전기오류수정손실			
126135	   복구충당부채전입액			
126136	   복구공사손실			
126166	   재해손실			
126167	   특별상각			
126168	   해외사업환산손실상각			
126250	   기타영업외비용	1314139000	59014000	1214501000
128000	법인세비용차감전계속영업이익(손실)	-53767240000	-265446573000	-154826983000
128100	계속영업손익법인세비용(부의법인세비용)			
128001	[법인세부담액]			
128110	종속기업의매수일전순이익(-)			
128160	계속영업이익(손실)	-53767240000	-265446573000	-154826983000
128170	중단영업이익(손실)			
128171	   [중단영업매출액]			
128172	   [중단영업매출원가]			
128173	   [중단영업매출총이익(손실)]			
128183	   [중단영업기타영업수익]			
128184	   [중단영업기타영업비용]			
128174	   [중단영업판매비와관리비]			
128175	   [중단영업감가상각비]			
128176	   [중단영업영업이익(손실)]			
128177	   [중단영업영업외수익]			
128178	   [중단영업영업외비용]			
128179	   [중단영업법인세비용차감전순이익(손실)]			
128180	   [사업중단직접비용]			
128181	   [중단영업손상차손등]			
128182	   [중단영업손익법인세효과]			
128200	총당기순이익	-53767240000	-265446573000	-154826983000
129061	   당기순이익지배기업지분	-53767240000	-265446573000	-154826983000
129062	   당기순이익비지배지분(소수주주지분)			
129007	기본주당계속영업손익		-32443	-18923
129009	기본주당순손익		-32443	-18923
129008	기본주당중단영업손익			
129017	희석주당계속영업손익			
129019	희석주당순손익			
129005	희석주당중단영업손익			
129050	기타포괄손익		-152000	10862000
129051	[기타포괄손익관련법인세효과]			
129052	   부동산평가이익			
129053	   투자자산평가손익			
129054	   위험회피평가손익			
129055	   외화환산평가손익		-152000	10862000
129056	   보험수리적손익			
129065	   관계기업의기타포괄손익에대한지분			
129057	   기타의기타포괄손익			
129058	   법인세효과			
129060	포괄손익	-53767240000	-265446725000	-154816121000
129063	   포괄손익지배기업지분	-53767240000	-265446725000	-154816121000
129064	   포괄손익비지배지분(소수주주지분)			
